NAME	DESCRIPTION	TFH_Rep1	TFH_Rep2	TH1_Rep1	TH1_Rep2
Cox8a	na	8.80427574589686	8.5450097357451	9.37431546177241	7.77198822818851
Cp	na	0	0.0879593756790372	0.0654737169906176	0.144883801550464
Cpa3	na	0.0726530499672603	0.0207355428141532	0.0566288504120391	0.0288808880718788
Cpd	na	1.39003170595916	1.47265577367538	2.68179525452125	2.63541369474084
Cpe	na	0.0195654667373958	0	0.0101646726059985	0.0305229046976615
Cpeb1	na	0.114714950662032	0.113535694464927	0.0466889484330714	0.0214207825749943
Cplx1	na	0	0	0.0160903685708797	0
Cpne6	na	0.269517541307719	0	0.145826569553893	0
Cpox	na	5.47038389048925	5.50763703355293	5.54811488629975	5.88868738269026
Cpt1a	na	5.08672804797509	5.22840039614513	4.48482289474087	4.38904410170986
Cpt1b	na	0.367534967540496	0.0575020526411451	0.153734442424407	0.0796967988007874
Cpt2	na	3.38477949990433	3.34140784172617	3.46528680122135	3.18727942490407
Cr2	na	0.0787688257565165	0.0736285389904716	0	0.102084388838022
Crabp2	na	0.910389801822994	0.988417147184037	1.37281285590399	1.44451721182373
Cradd	na	0.580483465856557	0.604646328089813	0.501887266344751	0.448416646627726
Crat	na	3.01618801722085	2.69270605364907	3.14582227499324	3.07954533477467
Crcp	na	4.57350714672487	4.37658443557823	4.45512529933909	3.96929766159841
Creb1	na	4.91644170810121	5.00985169855886	4.76729571235405	4.69150290789774
Creb3	na	6.26243448105658	6.32077180670203	6.53325922281789	6.52931567859526
Crebbp	na	3.53786208913267	3.87285431351816	3.42237762882598	3.39040756612248
Atf6b	na	6.35405408484003	6.10182781990856	6.17688138329855	6.07450894682622
Crem	na	2.09129393713055	1.82718085569404	2.54835245699859	2.31259223777516
Crip1	na	8.0579533354062	8.54971120668426	9.9514872062094	10.324927652353
Bcar1	na	0.110244304848369	0.0628345368535863	0.140661261914179	0.128646813988258
Crk	na	4.95604252514271	4.77151356814483	4.80903099554511	4.89695998618304
Crkl	na	5.39347544095702	5.52204586869698	5.45717064862954	5.0705282052761
Crlf1	na	0	0.0918339798279456	0.0845070896200904	0.126710429129108
Crmp1	na	0.718655493645731	0.951618630274616	1.31801127609876	2.60883229555179
Dpysl2	na	4.90327878803869	4.98556143222847	5.00200480094345	4.98827497133725
Dmbt1	na	0.0219368935899796	0	0.00567554213269232	0
Cr1l	na	4.8308351035445	4.5869699986592	5.11774370822162	5.19207741810479
Crx	na	0.619944958315145	0	0.187193546679985	0.751059765453526
Cry1	na	2.94208783735919	3.07125653814572	3.72061845831315	4.5183794996263
Cry2	na	2.37994522518876	2.25621414203874	1.81999083069688	2.44889316115148
Cryab	na	0.742590103368291	0.130063463050301	0.605755099156358	0
Cryba1	na	0.142946086480699	0	0	0
Cryba4	na	0.719607211573694	0.44560517900569	1.13954637476187	1.33360053326743
Crybb1	na	0.200839214497029	0.0784606220762695	0.739156574777227	0.392060318104314
Cryz	na	1.51892109706383	1.46122187339612	1.81931398135679	1.78033825768215
Cs	na	7.54226653889981	7.49472847206726	7.51132160586544	7.00014049958735
