	TFH_Rep1	TFH_Rep2	TH1_Rep1	TH1_Rep2
Dcun1d1	1288	2263	1599	827
Dcun1d2	443	814	685	507
Dcun1d3	228	390	757	422
Dcun1d4	192	311	234	110
Dcun1d5	1539	2553	2524	2031
Dcxr	29	34	37	27
Dda1	748	1292	1876	959
Ddah2	16	40	55	67
Ddb1	8304	15474	13957	9429
Ddb2	297	499	558	313
Ddc	12	0	1	0
Ddc8	11	10	17	4
Ddhd1	378	724	691	475
Ddhd2	506	803	810	524
Ddi2	318	583	458	415
Ddit3	250	354	501	351
Ddit4	1176	2150	2359	1469
Ddit4l	0	1	2	0
Ddn	3	3	8	7
Ddo	0	0	0	0
Ddost	2304	4119	6497	3174
Ddr1	256	394	976	749
Ddr2	5	5	7	3
Ddrgk1	373	586	777	796
Ddt	557	967	863	441
Ddx1	4215	6751	5849	4413
Ddx10	1756	2962	2050	1631
Ddx11	915	1557	1088	884
Ddx17	8626	14414	15342	12095
Ddx18	1427	2555	1822	1198
Ddx19a	1615	3346	2351	1071
Ddx19b	1325	2292	2005	1161
Ddx20	687	1059	1229	961
Ddx21	7524	11788	11093	9632
Ddx23	2329	4779	3699	3794
Ddx24	6884	11976	8982	6408
Ddx25	3	4	4	2
Ddx26b	518	998	762	484
Ddx27	1495	2457	2423	2535
Ddx28	545	899	1467	1025
Ddx31	376	676	636	491
Ddx39	2681	5065	5331	3638
Ddx3x	7791	12955	11637	6055
Ddx3y	202	2772	492	1747
Ddx4	2	7	3	1
Ddx41	1590	2761	2024	1234
Ddx42	2567	4378	4560	2944
Ddx43	27	38	30	7
Ddx46	4311	7323	6468	7007
Ddx47	1733	3031	3063	4020
Ddx49	269	473	549	349
Ddx5	19388	32560	33408	20092
Ddx50	976	1832	1685	1328
Ddx51	693	1070	865	584
Ddx52	1841	3218	2963	2706
Ddx54	1778	2784	3510	2916
Ddx55	488	793	678	683
Ddx56	651	1141	1198	994
Ddx58	4433	6878	7256	4248
Ddx59	236	481	476	203
Ddx6	10513	18526	13117	7727
Ddx60	1755	2431	1684	992
Deaf1	443	818	894	629
Dear1	1	0	2	0
Deb1	113	137	259	109
Decr1	672	1014	345	247
Decr2	348	461	400	218
Dedd	805	1297	1424	893
Dedd2	711	1059	1268	861
Def6	2411	3978	6227	4429
Def8	499	695	612	387
Defb23	0	0	0	0
Degs1	1069	1732	2961	1628
Degs2	429	674	228	107
Dek	5512	9733	9838	6941
Dem1	479	694	585	494
Dennd1a	520	890	1023	558
